product_name,stars,rating,reviews,curr_price,mrp,processor,ram,image
HP Celeron Dual Core,4,1885,260,18990,33390,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/w/r/-original-imagrs2bqaczkcty.jpeg?q=70
HP 15s (2023) Ryzen 3 Dual Core 3250U,4.2,2093,204,35490,39995,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
ASUS Vivobook 15 Core i3 11th Gen,4.3,4381,396,37990,56990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70
ASUS Vivobook 15 Core i5 11th Gen,4.3,2507,188,47990,70990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/h/v/-original-imagq9hcmgg3etg8.jpeg?q=70
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,4.2,6849,630,38190,63190,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70
HP 15s (2023) Intel Core i3 12th Gen,4.3,463,40,42990,51266,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/l/q/-original-imagphhh4syr7qrg.jpeg?q=70
ASUS Vivobook Go 15 Celeron Dual Core,4.2,221,19,25990,33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/n/w/-original-imagqs9vc7ecv4vj.jpeg?q=70
HP Chromebook x360 Intel Celeron Quad Core,3.8,162,19,18990,31156,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/j/u/m/14a-ca0504tu-thin-and-light-laptop-hp-original-imagbmt6dsjhwwhz.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,14488,2071,36999,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),https://rukminim2.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
HP 247 G8 Athlon Dual Core AMD Athlon P3045B,3.7,128,17,24490,33267,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/l1tmf0w0/screen-guard/screen-guard/p/t/l/hp-247-g8-laptop-14-black-67u77pa-preyansh-original-imagdb5mryr3wbjw.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788,4.1,1507,467,13990,24990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
Primebook 4G enabled Android based MediaTek MT8788,4,21,5,14990,27990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/d/u/s-4g-thin-and-light-laptop-primebook-original-imagraab4g5uh39r.jpeg?q=70
ASUS Chromebook Celeron Dual Core,3.6,419,53,13990,24990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70
Lenovo V15 Ryzen 5 Hexa Core 5500U,4.2,404,56,35990,69525,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/i/-original-imagzhefhc84rmbf.jpeg?q=70
Lenovo Intel Celeron Dual Core,4.1,1919,178,30790,46090,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/b/z/-original-imagmmng8dppnn4v.jpeg?q=70
Acer Extensa (2023) Core i3,4.3,308,47,32990,44999,Intel Core i3 Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2651,287,35890,47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
AXL Celeron Dual Core,3.7,47,7,15999,31990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/b/q/axl-vayu-book-thin-and-light-laptop-axl-original-imagrehvpjhwkdcd.jpeg?q=70
HP Ryzen 3 Quad Core R3 3250,3.9,113,5,30490,37188,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,123,11,43490,49631,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/7/4/-original-imagp8xzmyz8jyua.jpeg?q=70
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.3,2337,248,49490,86290,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70
HP Chromebook MediaTek Kompanio 500,3.8,6530,728,19990,25451,MediaTek MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/m/e/-original-imagkqwzw9cdvgj2.jpeg?q=70
